id,gender,birthdate,lname,fname
172-32-1176,m,1958/04/21,White,Johnson
514-14-8905,f,1944/12/22,Borden,Ashley
213-46-8915,f,1958/04/21,Green,Marjorie
524-02-7657,m,1962/03/25,Munsch,Jerome
489-36-8350,m,1964/09/06,Aragon,Robert
514-30-2668,f,1986/05/27,Russell,Jacki
505-88-5714,f,1963/09/23,Venson,Lillian
690-05-5315,m,1969/10/02,Conley,Thomas
646-44-9061,M,1978/01/12,Jackson,Charles
421-37-1396,f,1980/04/09,Davis,Susan
461-97-5660,f,1975/01/04,Watson,Gail
660-03-8360,f,1953/07/11,Garrison,Lisa
751-01-2327,f,1968/02/16,Renfro,Julie
559-81-1301,m,1952/01/20,Heard,James
624-84-9181,m,1980/01/16,Reyes,Danny
449-48-3135,m,1982/06/14,Hall,Mark
477-36-0282,m,1961/03/10,Mceachern,Monte
458-02-6124,m,1955/09/20,Diaz,Christopher
044-34-6954,m,1967/05/28,Lowe,Tim
587-03-2682,f,1958/10/24,Oyola,Lynette
421-90-3440,f,1953/07/17,Morrison,Adriane
451-80-3526,m,1950/06/09,Santos,Thomas
300-62-3266,m,1965/02/10,Faulkner,Victor
322-84-2281,m,1977/08/19,Iorio,Albert
465-73-5022,f,1964/06/20,Kaminski,Teresa
612-20-6832,m,1979/08/18,Edwards,Rick
687-05-8365,f,1976/05/24,Peacock,Stacey
205-52-0027,f,1950/03/26,Nelson,Agnes
404-12-2154,f,1984/09/21,Townsend,Mireille
151-32-2558,f,1952/11/19,Zwick,Rebecca
